ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000037780		0.0	-5.80234958214853	-0.120229342145334	Mbl1	MGI:96923	http://www.kegg.jp/dbget-bin/www_bget?mmu:17194				
ENSMUSG00000001870		0.0	-0.610019861076117	1.39970369429538	Ltbp1	MGI:109151	http://www.kegg.jp/dbget-bin/www_bget?mmu:268977				
ENSMUSG00000001300		0.0	0.316782798250859	0.419870375232773	Efnb2	MGI:105097	http://www.kegg.jp/dbget-bin/www_bget?mmu:13642				
ENSMUSG00000055980		0.0	-1.89588134987185	-1.65172795980584	Irs1	MGI:99454	http://www.kegg.jp/dbget-bin/www_bget?mmu:16367				
ENSMUSG00000000782		0.0	-5.70686687857011	0.118100541493532	Tcf7	MGI:98507	http://www.kegg.jp/dbget-bin/www_bget?mmu:21414				
ENSMUSG00000000253		0.0	-5.99388872846492	-0.104585853795066	Gmpr	MGI:1913605	http://www.kegg.jp/dbget-bin/www_bget?mmu:66355				
ENSMUSG00000020218		0.0	-6.0750814471427	-0.030562657263247	Wif1	MGI:1344332	http://www.kegg.jp/dbget-bin/www_bget?mmu:24117				
ENSMUSG00000010080		0.0	-5.11620718899929	0.151376046383976	Epn3	MGI:1919139	http://www.kegg.jp/dbget-bin/www_bget?mmu:71889				
ENSMUSG00000024992		0.0	-6.09309852730615	0.0279903004161796	Pde6c	MGI:105956	http://www.kegg.jp/dbget-bin/www_bget?mmu:110855				
ENSMUSG00000022861		0.0	-4.8406629725291	-0.203834826198759	Dgkg	MGI:105060	http://www.kegg.jp/dbget-bin/www_bget?mmu:110197				
ENSMUSG00000027249		0.0	-5.55221944088273	-0.145553561075763	F2	MGI:88380	http://www.kegg.jp/dbget-bin/www_bget?mmu:14061				
ENSMUSG00000024991		0.0	-1.59381912729876	2.09442519625892	Eif3a	MGI:95301	http://www.kegg.jp/dbget-bin/www_bget?mmu:13669				
ENSMUSG00000024228		0.0	-5.65191261241908	-0.221480107794813	Nudt12	MGI:1915243	http://www.kegg.jp/dbget-bin/www_bget?mmu:67993				
ENSMUSG00000005378		0.0	-2.59202767495603	0.533165800061356	Wbscr22	MGI:1913388	http://www.kegg.jp/dbget-bin/www_bget?mmu:66138				
ENSMUSG00000020963		0.0	-4.33418126783736	-0.296159833057654	Tshr	MGI:98849	http://www.kegg.jp/dbget-bin/www_bget?mmu:22095				
ENSMUSG00000037148		0.0	-5.59278451614002	0.366574077782585	Arhgap10	MGI:1925764	http://www.kegg.jp/dbget-bin/www_bget?mmu:78514				
ENSMUSG00000024998		0.0	-5.81356515034221	-0.0670805047634682	Plce1	MGI:1921305	http://www.kegg.jp/dbget-bin/www_bget?mmu:74055				
ENSMUSG00000027536		0.0	-5.52663747366593	0.160095311742122	Chmp4c	MGI:1913621	http://www.kegg.jp/dbget-bin/www_bget?mmu:66371				
ENSMUSG00000076441		0.0	-5.22702112544828	-0.157016124551051	Ass1	MGI:88090	http://www.kegg.jp/dbget-bin/www_bget?mmu:11898				
ENSMUSG00000001891		0.0	-4.13799136066585	-0.392182471799121	Ugp2	MGI:2183447	http://www.kegg.jp/dbget-bin/www_bget?mmu:216558				
ENSMUSG00000056536		0.0	-3.95565091236437	0.472566873500702	Pign	MGI:1351629	http://www.kegg.jp/dbget-bin/www_bget?mmu:27392				
ENSMUSG00000030793		0.0	-3.85141813998604	-0.358924063071585	Pycard	MGI:1931465	http://www.kegg.jp/dbget-bin/www_bget?mmu:66824				
ENSMUSG00000007207		0.0	-2.53389728338516	-0.717004288654191	Stx1a	MGI:109355	http://www.kegg.jp/dbget-bin/www_bget?mmu:20907				
ENSMUSG00000054855		0.0	-3.78578742784033	0.671596075110786	Rnd1	MGI:2444878	http://www.kegg.jp/dbget-bin/www_bget?mmu:223881				
ENSMUSG00000038780		0.0	-3.89744376340554	0.393465435237641	Smurf1	MGI:1923038	http://www.kegg.jp/dbget-bin/www_bget?mmu:75788				
ENSMUSG00000020986		0.0	-3.41069211349407	-0.662370934517884	Sec23a	MGI:1349635	http://www.kegg.jp/dbget-bin/www_bget?mmu:20334				
ENSMUSG00000005553		0.0	-6.15688815015736	-0.020127086889221	Atp4a	MGI:88113	http://www.kegg.jp/dbget-bin/www_bget?mmu:11944				
ENSMUSG00000039656		0.0	-5.85373584223529	-0.0672471920369055	Rxrb	MGI:98215	http://www.kegg.jp/dbget-bin/www_bget?mmu:20182				
ENSMUSG00000037366		0.0	-5.91687415911794	-0.0830157814471602	Pafah2	MGI:2140321	http://www.kegg.jp/dbget-bin/www_bget?mmu:100163				
ENSMUSG00000039653		0.0	-6.07217869742878	0.0310089100722377	Baat	MGI:106642	http://www.kegg.jp/dbget-bin/www_bget?mmu:12012				
ENSMUSG00000022637		0.0	-3.3511029580657	-0.565356826067047	Cblb	MGI:2146430	http://www.kegg.jp/dbget-bin/www_bget?mmu:208650				
ENSMUSG00000030403		0.0	-1.99644752597956	1.42710373381258	Vasp	MGI:109268	http://www.kegg.jp/dbget-bin/www_bget?mmu:22323				
ENSMUSG00000020524		0.0	-4.91453130307408	-0.400314450788096	Gria1	MGI:95808	http://www.kegg.jp/dbget-bin/www_bget?mmu:14799				
ENSMUSG00000040260		0.0	0.234302362162125	0.660973748647911	Daam2	MGI:1923691	http://www.kegg.jp/dbget-bin/www_bget?mmu:76441				
ENSMUSG00000041237		0.0	-3.03373691356381	0.438484715291031	Pklr	MGI:97604	http://www.kegg.jp/dbget-bin/www_bget?mmu:18770				
ENSMUSG00000041720		0.0	-5.83129310374669	-0.0843695623737215	Pi4ka	MGI:2448506	http://www.kegg.jp/dbget-bin/www_bget?mmu:224020				
ENSMUSG00000030062		0.0	-3.37037917004017	0.411355087100634	Rpn1	MGI:98084	http://www.kegg.jp/dbget-bin/www_bget?mmu:103963				
ENSMUSG00000023328		0.0	-6.07048910520186	0.0408357384307226	Ache	MGI:87876	http://www.kegg.jp/dbget-bin/www_bget?mmu:11423				
ENSMUSG00000027332		0.0	-5.18117515408278	-0.212473570686144	Ivd	MGI:1929242	http://www.kegg.jp/dbget-bin/www_bget?mmu:56357				
ENSMUSG00000027330		0.0	-2.53085694123908	0.843284397858164	Cdc25b	MGI:99701	http://www.kegg.jp/dbget-bin/www_bget?mmu:12531				
ENSMUSG00000030880		0.0	-3.7172694865097	0.470386417698309	Polr3e	MGI:1349452	http://www.kegg.jp/dbget-bin/www_bget?mmu:26939				
ENSMUSG00000026202		0.0	-1.31984858277999	1.66507371211149	Tuba4a	MGI:1095410	http://www.kegg.jp/dbget-bin/www_bget?mmu:22145				
